#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
289,,Glenfarclas 1956?The Family Casks (Release A13),56,46.6 % Vol.,700 ml,93.62,24,
290,,Glenfarclas 1954?The Family Casks (Release S14),59,47.2 % Vol.,700 ml,93.61,20,
291,,Clynelish 12-year-old?Ainslie & Heilbron,12,56.9 % Vol.,750 ml,93.61,46,
292,,Bowmore 1968 DT?Rare Auld,37,41.5 % Vol.,700 ml,93.61,30,
293,,Glenglassaugh 1967?Rare Cask Series - Aged Over 40 Years Old,43,40.4 % Vol.,700 ml,93.6,19,
294,,Bowmore 1963 Anniversary,30,50.0 % Vol.,750 ml,93.6,61,
295,,Springbank 100¡Æ Proof?Green Thistle,12,57.0 % Vol.,700 ml,93.6,138,
296,,Bowmore 1972 SV?Cask Strength Collection,36,45.4 % Vol.,700 ml,93.6,85,
297,,Macallan 1961,,54.1 % Vol.,700 ml,93.6,17,
298,,"Bowmore 08-year-old Sherriff's?Pure Scotch Malt, shaped bottle",8,43.0 % Vol.,750 ml,93.6,27,
299,,Springbank 1965 MI?The Birds - first collection,,46.0 % Vol.,750 ml,93.59,20,
300,,Laphroaig 1981,27,56.6 % Vol.,700 ml,93.59,135,
301,,Glenfarclas 1957?The Family Casks (Release X),,43.7 % Vol.,700 ml,93.59,20,
302,,Glenfarclas 1957?The Family Casks (Release A13),55,49.6 % Vol.,700 ml,93.59,21,
303,,Caperdonich 1966 SV,32,53.1 % Vol.,700 ml,93.59,35,
